time,queue
2015-12-14 00:12:02,1
2015-12-14 00:37:01,1
2015-12-14 00:47:00,1
2015-12-14 02:42:01,1
2015-12-14 04:22:01,3
2015-12-14 05:12:01,1
2015-12-14 05:41:02,1
2015-12-14 05:42:01,2
2015-12-14 05:47:01,2
2015-12-14 05:52:01,1
2015-12-14 06:07:01,1
2015-12-14 06:07:02,2
2015-12-14 06:12:01,1
2015-12-14 06:12:02,3
2015-12-14 06:12:03,4
2015-12-14 06:17:02,1
2015-12-14 06:27:02,1
2015-12-14 06:32:01,2
2015-12-14 06:32:02,3
2015-12-14 06:37:02,1
2015-12-14 06:42:01,1
2015-12-14 06:57:02,2
2015-12-14 07:07:01,1
2015-12-14 07:12:02,1
2015-12-14 07:22:01,1
2015-12-14 07:22:02,2
2015-12-14 07:27:01,1
2015-12-14 07:37:02,1
2015-12-14 07:42:01,1
2015-12-14 07:42:02,2
2015-12-14 07:47:00,1
2015-12-14 07:47:01,2
2015-12-14 07:57:01,1
2015-12-14 07:57:02,3
2015-12-14 08:02:00,1
2015-12-14 08:12:02,1
2015-12-14 08:22:01,1
2015-12-14 08:26:00,1
2015-12-14 08:26:01,2
2015-12-14 08:27:00,3
2015-12-14 08:32:01,1
2015-12-14 08:42:02,1
2015-12-14 08:57:02,1
2015-12-14 09:02:01,1
2015-12-14 09:07:01,2
2015-12-14 09:07:02,3
2015-12-14 09:12:02,2
2015-12-14 09:27:00,1
2015-12-14 09:37:01,1
2015-12-14 09:42:02,1
2015-12-14 09:47:01,2
2015-12-14 10:07:01,2
2015-12-14 10:07:02,3
2015-12-14 10:12:01,1
2015-12-14 10:12:03,2
2015-12-14 10:12:04,4
2015-12-14 10:37:01,2
2015-12-14 10:47:02,1
2015-12-14 10:47:03,3
2015-12-14 10:57:00,1
2015-12-14 10:57:01,2
2015-12-14 10:57:02,3
2015-12-14 11:02:02,1
2015-12-14 11:16:01,2
2015-12-14 11:17:01,3
2015-12-14 11:22:02,1
2015-12-14 11:27:02,2
2015-12-14 11:32:03,1
2015-12-14 11:42:01,1
2015-12-14 11:47:02,2
2015-12-14 11:47:03,3
