"zip","title","timeStamp","time"
19464,"Fire: ELECTRICAL FIRE OUTSIDE","2016-02-24 19:32:00",2016-02-24 19:32:00
19096,"Traffic: ROAD OBSTRUCTION -","2016-02-24 19:36:01",2016-02-24 19:36:01
19038,"EMS: FALL VICTIM","2016-02-24 19:42:01",2016-02-24 19:42:01
19473,"Traffic: VEHICLE ACCIDENT -","2016-02-24 19:42:01",2016-02-24 19:42:01
19401,"Traffic: ROAD OBSTRUCTION -","2016-02-24 19:46:01",2016-02-24 19:46:01
19046,"Traffic: ROAD OBSTRUCTION -","2016-02-24 19:46:01",2016-02-24 19:46:01
19090,"EMS: BUILDING FIRE","2016-02-24 19:52:02",2016-02-24 19:52:02
19090,"Fire: BUILDING FIRE","2016-02-24 19:52:02",2016-02-24 19:52:02
19046,"Fire: ELECTRICAL FIRE OUTSIDE","2016-02-24 19:52:02",2016-02-24 19:52:02
19001,"Traffic: ROAD OBSTRUCTION -","2016-02-24 19:52:02",2016-02-24 19:52:02
19006,"Fire: ELECTRICAL FIRE OUTSIDE","2016-02-24 19:56:00",2016-02-24 19:56:00
19027,"Fire: FIRE ALARM","2016-02-24 19:57:00",2016-02-24 19:57:00
NA,"Fire: ELECTRICAL FIRE OUTSIDE","2016-02-24 19:57:01",2016-02-24 19:57:01
19403,"Traffic: ROAD OBSTRUCTION -","2016-02-24 19:57:02",2016-02-24 19:57:02
19438,"Traffic: ROAD OBSTRUCTION -","2016-02-24 19:57:02",2016-02-24 19:57:02
19002,"Traffic: ROAD OBSTRUCTION -","2016-02-24 19:57:03",2016-02-24 19:57:03
19111,"EMS: FALL VICTIM","2016-02-24 20:01:01",2016-02-24 20:01:01
19444,"Fire: BUILDING FIRE","2016-02-24 20:02:01",2016-02-24 20:02:01
19438,"EMS: RESPIRATORY EMERGENCY","2016-02-24 20:02:02",2016-02-24 20:02:02
NA,"EMS: SYNCOPAL EPISODE","2016-02-24 20:02:02",2016-02-24 20:02:02
19066,"EMS: UNKNOWN MEDICAL EMERGENCY","2016-02-24 20:02:02",2016-02-24 20:02:02
18969,"Traffic: ROAD OBSTRUCTION -","2016-02-24 20:06:01",2016-02-24 20:06:01
19002,"Traffic: ROAD OBSTRUCTION -","2016-02-24 20:06:01",2016-02-24 20:06:01
19090,"Traffic: ROAD OBSTRUCTION -","2016-02-24 20:06:01",2016-02-24 20:06:01
