"zip","title","timeStamp","time"
19468,"EMS: BACK PAINS/INJURY","2016-06-08 10:02:01",2016-06-08 10:02:01
19422,"Traffic: VEHICLE ACCIDENT -","2016-06-08 10:12:00",2016-06-08 10:12:00
19096,"Traffic: VEHICLE ACCIDENT -","2016-06-08 10:22:01",2016-06-08 10:22:01
19446,"EMS: ASSAULT VICTIM","2016-06-08 10:26:00",2016-06-08 10:26:00
19464,"EMS: CARDIAC EMERGENCY","2016-06-08 10:27:01",2016-06-08 10:27:01
19046,"Traffic: VEHICLE ACCIDENT -","2016-06-08 10:32:00",2016-06-08 10:32:00
19010,"Traffic: VEHICLE ACCIDENT -","2016-06-08 10:41:00",2016-06-08 10:41:00
19151,"Fire: FIRE ALARM","2016-06-08 10:42:00",2016-06-08 10:42:00
19151,"Fire: FIRE ALARM","2016-06-08 10:42:00",2016-06-08 10:42:00
19040,"Traffic: VEHICLE ACCIDENT -","2016-06-08 10:42:01",2016-06-08 10:42:01
19464,"EMS: ABDOMINAL PAINS","2016-06-08 10:47:01",2016-06-08 10:47:01
NA,"EMS: DIZZINESS","2016-06-08 10:47:01",2016-06-08 10:47:01
19454,"Traffic: DISABLED VEHICLE -","2016-06-08 10:47:02",2016-06-08 10:47:02
19002,"Traffic: VEHICLE ACCIDENT -","2016-06-08 10:47:02",2016-06-08 10:47:02
19035,"Fire: WOODS/FIELD FIRE","2016-06-08 10:51:00",2016-06-08 10:51:00
19403,"Fire: FIRE ALARM","2016-06-08 10:56:01",2016-06-08 10:56:01
19406,"EMS: CARDIAC EMERGENCY","2016-06-08 10:57:01",2016-06-08 10:57:01
19040,"EMS: FALL VICTIM","2016-06-08 11:02:01",2016-06-08 11:02:01
19401,"EMS: UNCONSCIOUS SUBJECT","2016-06-08 11:02:01",2016-06-08 11:02:01
19473,"EMS: DIABETIC EMERGENCY","2016-06-08 11:12:01",2016-06-08 11:12:01
19406,"EMS: RESPIRATORY EMERGENCY","2016-06-08 11:12:01",2016-06-08 11:12:01
19401,"EMS: CARDIAC EMERGENCY","2016-06-08 11:17:01",2016-06-08 11:17:01
NA,"EMS: VEHICLE ACCIDENT","2016-06-08 11:17:01",2016-06-08 11:17:01
NA,"Fire: VEHICLE ACCIDENT","2016-06-08 11:17:01",2016-06-08 11:17:01
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 11:17:01",2016-06-08 11:17:01
19072,"Traffic: VEHICLE ACCIDENT -","2016-06-08 11:22:00",2016-06-08 11:22:00
19003,"Traffic: VEHICLE ACCIDENT -","2016-06-08 11:27:00",2016-06-08 11:27:00
19044,"EMS: CARDIAC EMERGENCY","2016-06-08 11:32:01",2016-06-08 11:32:01
19464,"EMS: CARDIAC EMERGENCY","2016-06-08 11:37:00",2016-06-08 11:37:00
19002,"Fire: FIRE ALARM","2016-06-08 11:37:00",2016-06-08 11:37:00
19002,"Fire: CARBON MONOXIDE DETECTOR","2016-06-08 11:42:01",2016-06-08 11:42:01
19426,"Traffic: ROAD OBSTRUCTION -","2016-06-08 11:42:02",2016-06-08 11:42:02
19426,"Traffic: ROAD OBSTRUCTION -","2016-06-08 11:42:02",2016-06-08 11:42:02
19072,"EMS: HEAD INJURY","2016-06-08 11:47:01",2016-06-08 11:47:01
19428,"Fire: ELECTRICAL FIRE OUTSIDE","2016-06-08 11:47:01",2016-06-08 11:47:01
19066,"Traffic: ROAD OBSTRUCTION -","2016-06-08 11:47:02",2016-06-08 11:47:02
19401,"Traffic: ROAD OBSTRUCTION -","2016-06-08 11:47:02",2016-06-08 11:47:02
19422,"Traffic: ROAD OBSTRUCTION -","2016-06-08 11:51:01",2016-06-08 11:51:01
19010,"Fire: RESCUE - ELEVATOR","2016-06-08 11:52:00",2016-06-08 11:52:00
19422,"Traffic: ROAD OBSTRUCTION -","2016-06-08 11:52:01",2016-06-08 11:52:01
19428,"Fire: FIRE ALARM","2016-06-08 11:57:00",2016-06-08 11:57:00
19041,"EMS: DIABETIC EMERGENCY","2016-06-08 11:57:01",2016-06-08 11:57:01
19027,"Traffic: HAZARDOUS ROAD CONDITIONS -","2016-06-08 11:57:02",2016-06-08 11:57:02
19044,"Traffic: ROAD OBSTRUCTION -","2016-06-08 11:57:02",2016-06-08 11:57:02
19066,"Traffic: VEHICLE ACCIDENT -","2016-06-08 11:57:03",2016-06-08 11:57:03
19403,"EMS: SEIZURES","2016-06-08 12:01:00",2016-06-08 12:01:00
19002,"Fire: ELECTRICAL FIRE OUTSIDE","2016-06-08 12:01:00",2016-06-08 12:01:00
19096,"Traffic: ROAD OBSTRUCTION -","2016-06-08 12:01:01",2016-06-08 12:01:01
