"date","code","states","severity","tornado","wind","hail","state_count","nj","pa","year","month","day"
2017-05-31,"SLGT-T0-W140-H91","WV, KS, VT, GA, OH, MO, NC, NY, PA, FL, KY, VA, MD, MA, NH, MT, TX, WY, CO, CT, NJ","SLGT","0","140","91",21,TRUE,TRUE,"2017","05","31"
2017-05-28,"SLGT-T0-W98-H39","LA, OH, NC, SD, PA, MI, TX, MN, IN, SC, ND, IA, MS, WI, NY","SLGT","0","98","39",15,FALSE,TRUE,"2017","05","28"
2017-05-19,"ENH-T25-W121-H88","MO, TX, KS, OK, KY, VA, NC, OH, IN, PA, AR, MD, WV, TN, IA","ENH","25","121","88",15,FALSE,TRUE,"2017","05","19"
2017-05-18,"HIGH-T20-W278-H209","OK, CO, TX, KS, OH, WV, MD, NY, PA, IN, GA, VA, VT, NC, NH, MA, ME, MO, CT, AR, IL","HIGH","20","278","209",21,FALSE,TRUE,"2017","05","18"
2017-05-14,"MRGL-T0-W16-H7","NJ, NY, TX, KS, NE","MRGL","0","16","7",5,TRUE,FALSE,"2017","05","14"
2017-05-01,"ENH-T0-W279-H3","OH, WV, PA, NY, NC, MD, VA, SC","ENH","0","279","3",8,FALSE,TRUE,"2017","05","01"
2017-04-30,"ENH-T15-W191-H9","LA, MS, TN, AL, OH, WV, VA, PA, KY, MO","ENH","15","191","9",10,FALSE,TRUE,"2017","04","30"
2017-04-27,"SLGT-T10-W7-H4","AL, GA, KS, OH, PA, CO, WV","SLGT","10","7","4",7,FALSE,TRUE,"2017","04","27"
2017-04-06,"ENH-T4-W112-H2","FL, VA, DC, MI, MD, PA, GA, DE, NJ, NY, NC","ENH","4","112","2",11,TRUE,TRUE,"2017","04","06"
2017-03-01,"MDT-T3-W535-H102","OH, WV, KY, TN, PA, VA, MD, AL, DC, DE, MS, NJ, GA, NC, LA, SC, NY","MDT","3","535","102",17,TRUE,TRUE,"2017","03","01"
2017-02-27,"SLGT-T0-W1-H20","PA, TX, AR, MS, MO","SLGT","0","1","20",5,FALSE,TRUE,"2017","02","27"
2017-02-25,"SLGT-T0-W125-H65","NY, VA, PA, NC, MD, NJ, MA","SLGT","0","125","65",7,TRUE,TRUE,"2017","02","25"
2017-02-12,"TSTM-T0-W72-H0","MD, PA, WV, VA, DC","TSTM","0","72","0",5,FALSE,TRUE,"2017","02","12"
2017-01-12,"MRGL-T0-W12-H0","OH, PA","MRGL","0","12","0",2,FALSE,TRUE,"2017","01","12"
2016-10-30,"MRGL-T0-W32-H2","PA, NV, ID, OH","MRGL","0","32","2",4,FALSE,TRUE,"2016","10","30"
2016-10-20,"SLGT-T0-W23-H8","OH, WV, PA, TX, KY","SLGT","0","23","8",5,FALSE,TRUE,"2016","10","20"
2016-09-17,"SLGT-T9-W39-H31","CO, KS, PA, TX, OK, NY, LA, NM","SLGT","9","39","31",8,FALSE,TRUE,"2016","09","17"
