"","x"
"1",2015-12-14 00:02:01
"2",2015-12-14 00:17:01
"3",2015-12-14 00:27:00
"4",2015-12-14 00:47:01
"5",2015-12-14 01:07:00
"6",2015-12-14 01:12:01
"7",2015-12-14 01:12:02
"8",2015-12-14 01:22:01
"9",2015-12-14 01:32:00
"10",2015-12-14 01:37:01
"11",2015-12-14 01:37:01
"12",2015-12-14 01:47:00
"13",2015-12-14 01:47:00
"14",2015-12-14 01:51:01
"15",2015-12-14 02:17:00
"16",2015-12-14 02:27:00
"17",2015-12-14 02:42:00
"18",2015-12-14 02:47:00
"19",2015-12-14 03:17:01
"20",2015-12-14 03:42:01
"21",2015-12-14 03:42:01
"22",2015-12-14 04:17:01
"23",2015-12-14 04:27:01
"24",2015-12-14 04:31:01
"25",2015-12-14 04:47:00
"26",2015-12-14 05:17:01
"27",2015-12-14 05:22:01
"28",2015-12-14 05:47:00
"29",2015-12-14 05:52:01
"30",2015-12-14 06:27:00
"31",2015-12-14 06:32:01
"32",2015-12-14 06:47:01
"33",2015-12-14 06:51:00
"34",2015-12-14 06:52:01
"35",2015-12-14 07:07:01
"36",2015-12-14 07:07:02
"37",2015-12-14 07:12:02
"38",2015-12-14 07:22:01
"39",2015-12-14 07:32:01
"40",2015-12-14 07:36:01
"41",2015-12-14 07:42:01
"42",2015-12-14 07:42:01
"43",2015-12-14 07:56:01
"44",2015-12-14 08:07:01
"45",2015-12-14 08:22:01
"46",2015-12-14 08:22:01
"47",2015-12-14 08:26:01
"48",2015-12-14 08:27:01
"49",2015-12-14 08:37:01
"50",2015-12-14 08:42:00
"51",2015-12-14 08:47:00
"52",2015-12-14 08:47:00
"53",2015-12-14 08:52:01
"54",2015-12-14 08:57:00
"55",2015-12-14 08:57:01
"56",2015-12-14 09:02:00
"57",2015-12-14 09:02:00
"58",2015-12-14 09:12:01
"59",2015-12-14 09:17:01
"60",2015-12-14 09:22:01
"61",2015-12-14 09:26:01
"62",2015-12-14 09:27:00
"63",2015-12-14 09:32:01
"64",2015-12-14 09:32:01
"65",2015-12-14 09:42:01
"66",2015-12-14 09:42:02
"67",2015-12-14 10:02:00
"68",2015-12-14 10:06:01
"69",2015-12-14 10:07:01
"70",2015-12-14 10:12:01
"71",2015-12-14 10:26:01
"72",2015-12-14 10:27:00
"73",2015-12-14 10:37:01
"74",2015-12-14 10:37:01
"75",2015-12-14 10:42:01
"76",2015-12-14 10:42:02
"77",2015-12-14 11:02:01
"78",2015-12-14 11:07:01
"79",2015-12-14 11:07:01
"80",2015-12-14 11:12:01
"81",2015-12-14 11:12:01
"82",2015-12-14 11:37:01
"83",2015-12-14 11:37:01
"84",2015-12-14 11:37:01
"85",2015-12-14 11:46:01
"86",2015-12-14 11:56:02
"87",2015-12-14 11:57:00
"88",2015-12-14 11:57:01
"89",2015-12-14 12:02:01
"90",2015-12-14 12:16:01
"91",2015-12-14 12:17:01
"92",2015-12-14 12:27:00
"93",2015-12-14 12:32:01
"94",2015-12-14 12:42:00
"95",2015-12-14 12:47:01
"96",2015-12-14 12:52:00
"97",2015-12-14 12:57:00
"98",2015-12-14 12:57:00
"99",2015-12-14 12:57:01
"100",2015-12-14 13:07:00
"101",2015-12-14 13:07:01
"102",2015-12-14 13:07:01
"103",2015-12-14 13:07:01
"104",2015-12-14 13:12:01
"105",2015-12-14 13:12:02
"106",2015-12-14 13:16:00
"107",2015-12-14 13:17:01
"108",2015-12-14 13:17:01
"109",2015-12-14 13:17:01
"110",2015-12-14 13:22:01
"111",2015-12-14 13:22:01
"112",2015-12-14 13:22:01
"113",2015-12-14 13:27:01
"114",2015-12-14 13:42:00
"115",2015-12-14 13:47:01
"116",2015-12-14 13:47:02
"117",2015-12-14 13:47:02
"118",2015-12-14 13:51:01
"119",2015-12-14 14:02:00
"120",2015-12-14 14:02:00
"121",2015-12-14 14:02:01
"122",2015-12-14 14:12:01
"123",2015-12-14 14:17:01
"124",2015-12-14 14:22:01
"125",2015-12-14 14:27:00
"126",2015-12-14 14:52:01
"127",2015-12-14 15:02:02
"128",2015-12-14 15:07:01
"129",2015-12-14 15:27:01
"130",2015-12-14 15:27:01
"131",2015-12-14 15:47:01
"132",2015-12-14 15:52:02
"133",2015-12-14 15:57:01
"134",2015-12-14 15:57:01
"135",2015-12-14 15:57:01
"136",2015-12-14 16:01:01
"137",2015-12-14 16:01:02
"138",2015-12-14 16:02:03
"139",2015-12-14 16:12:02
"140",2015-12-14 16:12:02
"141",2015-12-14 16:12:03
"142",2015-12-14 16:16:02
"143",2015-12-14 16:22:02
"144",2015-12-14 16:22:02
"145",2015-12-14 16:42:01
"146",2015-12-14 16:47:01
"147",2015-12-14 16:47:01
"148",2015-12-14 16:47:02
"149",2015-12-14 16:52:02
"150",2015-12-14 16:57:01
"151",2015-12-14 17:02:01
"152",2015-12-14 17:07:01
"153",2015-12-14 17:07:01
"154",2015-12-14 17:12:00
