YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201703,112682,673239,1,.86,"SSW","ELKINS",38.9087,-79.8569,3854522,7951414
201703,112682,673240,1,0,"N","(EKN)RANDOLPH FLD EL",38.88,-79.85,3852800,7951000
201703,112682,673241,1,14.77,"WSW","PEELTREE",39.0417,-80.4707,392502,8028242
201703,112682,673699,1,2,"S","GLENVILLE",38.9011,-80.83,3854066,8049800
201703,112681,673155,1,.6,"NNW","LANGSVILLE",39.0577,-82.1854,393462,8211124
201703,112681,673155,2,.63,"NNW","LANGSVILLE",39.0582,-82.1849,393492,8211094
201703,112681,673157,1,.43,"WSW","MIDDLEPORT",38.9968,-82.0569,3859808,823414
201703,112681,673159,1,0,"N","CHESAPEAKE",38.43,-82.45,3825800,8227000
201703,112681,673707,1,1.24,"W","BEVERLY",39.5517,-81.6531,3933102,8139186
201703,112681,673707,2,1.11,"SW","BEVERLY",39.5401,-81.6463,3932406,8138778
201703,112681,673707,3,2.43,"S","COALRUN",39.5348,-81.5824,3932088,8134944
201703,112681,673707,4,.29,"ESE","EQUITY",39.5679,-81.5653,3934074,8133918
201703,112681,673707,5,.96,"WSW","COALRUN",39.565,-81.5968,3933900,8135808
201703,112681,673707,6,.75,"NW","BEVERLY",39.5573,-81.6404,3933438,8138424
201703,112681,673709,1,.81,"E","ELK FORK",39.2812,-82.455,3916872,8227300
201703,112681,673709,2,3.71,"SE","HOPE",39.2854,-82.3115,3917124,8218690
201703,112681,673709,3,2.78,"NE","HOPE",39.3571,-82.3115,3921426,8218690
201703,112681,673709,4,1.51,"SSW","MT PLEASANT",39.3603,-82.4824,3921618,8228944
201703,112681,673878,1,1.37,"WSW","NEW STRAITSVILLE",39.5752,-82.255,3934512,8215300
201703,112681,673878,2,.86,"S","HEMLOCK",39.5677,-82.1524,3934062,829144
201703,112681,673878,3,1.13,"NW","MOXAHALA",39.6813,-82.1455,3940878,828730
201703,112681,673878,4,1.22,"NE","CROSSENVILLE",39.6947,-82.3372,3941682,8220232
201703,112681,673878,5,1.07,"WSW","MAXVILLE",39.6149,-82.3489,3936894,8220934
201703,112681,673878,6,1.48,"W","SHAWNEE",39.6024,-82.2476,3936144,8214856
201703,112681,673879,1,1.15,"ENE","CROOKSVILLE",39.7777,-82.0809,3946662,824854
201703,112681,673879,2,.74,"W","CLOVER HILL",39.7798,-82.1839,3946788,8211034
201703,112681,673879,3,1.1,"NW","NEW LEXINGTON",39.7317,-82.2139,3943902,8212834
201703,112681,673879,4,1.97,"SSE","MC LUNEY",39.7024,-82.0907,3942144,825442
201703,112681,673880,1,1.15,"ENE","CROOKSVILLE",39.7777,-82.0809,3946662,824854
201703,112681,673880,2,.74,"W","CLOVER HILL",39.7798,-82.1839,3946788,8211034
201703,112681,673880,3,.46,"ESE","CHALFANTS",39.8674,-82.272,3952044,8216320
201703,112681,673880,4,2.54,"ENE","SEGO",39.8622,-82.1748,3951732,8210488
201703,112681,673880,5,1.9,"NW","SALTILLO",39.8176,-82.1775,3949056,8210650
201703,112681,673880,6,.99,"N","ROSEVILLE",39.8141,-82.0768,3948846,824608
201703,112681,673881,1,1.1,"N","ELK FORK",39.2959,-82.4698,3917754,8228188
201703,112681,673881,2,1.78,"ENE","MC ARTHUR VNTN CO AR",39.3381,-82.4183,3920286,8225098
201703,112681,673881,3,.36,"WNW","NEW PLYMOUTH",39.3811,-82.4067,3922866,8224402
201703,112681,673881,4,1.08,"ENE","NEW PLYMOUTH",39.3835,-82.3803,3923010,8222818
201703,112681,673881,5,2.06,"WSW","HOPE",39.3229,-82.3875,3919374,8223250
201703,112681,673881,6,.88,"ENE","ELK FORK",39.2836,-82.4542,3917016,8227252
201703,112681,673882,1,.71,"N","PRATTSVILLE",39.2402,-82.3817,3914412,8222902
201703,112681,673882,2,1.31,"ESE","ZALESKI",39.2745,-82.3766,3916470,8222596
201703,112669,678954,1,.57,"E","FLORENCE",34.8,-87.66,3448000,8739600
201703,112669,678955,1,.89,"SE","PETERSVILLE",34.84,-87.67,3450400,8740200
201703,112669,678956,1,.69,"S","KILLEN",34.86,-87.53,3451600,8731800
201703,112669,678957,1,1.7,"E","THORTONTOWN",34.83,-87.32,3449800,8719200
201703,112669,678958,1,.57,"E","HOLBERT SPGS",34.87,-87.16,3452200,879600
201703,112669,678959,1,.89,"SW","WHITEHOUSE SPGS",34.64,-87.69,3438400,8741400
201703,112669,678960,1,2.68,"SW","EMCO LISTERHILL JCT",34.69,-87.6,3441400,8736000
201703,112669,678961,1,.57,"W","LEIGHTON",34.7,-87.53,3442000,8731800
201703,112669,678962,1,.69,"S","TONEY",34.89,-86.75,3453400,8645000
201703,112669,678963,1,.57,"W","TOWN CREEK",34.68,-87.41,3440800,8724600
201703,112669,678964,1,.89,"SE","ARDMORE",34.99,-86.84,3459400,8650400
201703,112669,678965,1,.57,"E","HAZEL GREEN",34.93,-86.57,3455800,8634200
201703,112669,678966,1,1.49,"NNE","LAWNGATE",34.74,-87.07,3444400,874200
201703,112669,678967,1,2.19,"NE","MADISON",34.72,-86.74,3443200,8644400
